County	Pct_Voted	MedianAge	MeanSavings	Pct_Poverty	PopulationDensity	Gender
Crawford, OH	30.48	34.5	68674	13.3	118.3	M
Jennings, IN	33.72	33.1	51863	12.9	64.4	F
Valencia, NM	44.7	31.5	50718	21	45.2	M
Crawford, MO	41.92	35.6	64365	19	26.8	M
Pasquotank, NC	49.15	32.2	111508	19.7	143.2	M
Fayette, TX	33.13	39.3	147371	14.8	21.4	M
Scott, IL	37.98	35.9	147300	10.4	22.3	F
Phillips, AR	65.63	30.8	88659	42.7	40.6	M
Lake, IN	55.17	33	65369	15.9	966	F
Harrison, WV	51.02	36.9	100403	22.1	168.5	M
Washington, IN	40.69	33.3	65278	13.8	47.4	F
Deuel, NE	20.71	38.9	141277	7.6	5	M
Kossuth, IA	40.4	36.7	156255	11.2	18.7	F
Craven, NC	39.54	30.2	62795	16.4	120.5	M
Muhlenberg, KY	60.25	34.8	56958	22.5	65.5	F
Bexar, TX	41.54	30	63507	22.7	987.4	M
Kimball, NE	22.82	38.2	171378	10.1	4.2	M
Red Lake, MN	46.34	35.5	110655	12.4	10.2	F
Milwaukee, WI	50.6	32.3	90711	19.4	3944.1	M
Iberia, LA	42.71	29.8	58992	23.9	121	F
Alger, MI	46.91	36.7	75582	13.8	10.7	F
Fort Bend, TX	34.07	30.5	32475	10	291.9	M
Adams, IA	39.83	40.1	108057	15.4	11.1	F
Washington, OH	36.98	34.6	95060	14.4	98.7	M
Edgefield, SC	46.42	32.6	38415	17.4	37.1	M
Hettinger, ND	25.3	40.5	121609	14.2	2.8	M
Macon, NC	41	42.7	79202	15	47.2	M
Marshall, WV	47.95	36.6	62886	18.7	121.5	M
Hemphill, TX	28.18	33.7	224934	8.2	3.8	M
Barrow, GA	39.98	31.1	67746	15.2	197.9	M
Charlton, GA	38.97	30.4	66347	21.3	11.3	F
Ottawa, MI	23.05	30.3	84296	6.6	348.8	F
